netuid,name,symbol,price_tao,price_usd,tao_price_usd,uid_fill_pct,subnetwork_n,max_n,burn_tao,alpha_in,alpha_out,emission_tao,tempo,total_subnets,fetched_at
0,root,Τ,1.0,249.02,249.02,100.0,64,64,0.0005,1306710.438388,4743902.919439,0.0,100,129,2026-04-25T04:31:37.786025+00:00
1,Apex,α,0.011102038,2.7646,249.02,100.0,256,256,0.002323,2666953.749068,2163846.304467,0.0,99,129,2026-04-25T04:31:38.014260+00:00
2,DSperse,β,0.006792813,1.6915,249.02,100.0,256,256,0.0005,1674272.784374,3009070.57691,0.0,360,129,2026-04-25T04:31:38.254044+00:00
3,deprecated,γ,0.024059664,5.9913,249.02,100.0,256,256,0.004065,2948508.739008,1978246.417396,0.0,360,129,2026-04-25T04:31:38.501911+00:00
4,Targon,δ,0.058158955,14.4827,249.02,100.0,256,256,0.0005,2265880.723394,2767420.60247,0.0,360,129,2026-04-25T04:31:39.164469+00:00
5,Hone,ε,0.019398105,4.8305,249.02,100.0,256,256,0.0005,2000052.241356,2733795.415927,0.0,360,129,2026-04-25T04:31:39.412366+00:00
6,Numinous,ζ,0.005206294,1.2965,249.02,100.0,256,256,0.2,2114700.113495,2598453.687926,0.0,360,129,2026-04-25T04:31:39.655600+00:00
7,Allways,η,0.004422628,1.1013,249.02,100.0,256,256,0.0005,1645866.554496,2834075.856673,0.0,360,129,2026-04-25T04:31:39.888151+00:00
8,Vanta,θ,0.036704972,9.1403,249.02,100.0,256,256,0.0005,2424971.062524,2510953.051505,0.0,360,129,2026-04-25T04:31:40.426086+00:00
9,iota,ι,0.023636946,5.8861,249.02,100.0,256,256,0.0005,2069715.076328,2937095.475025,0.0,360,129,2026-04-25T04:31:40.654116+00:00
10,Swap,κ,0.006225288,1.5502,249.02,100.0,256,256,0.0005,2607907.511897,2284614.360983,0.0,360,129,2026-04-25T04:31:40.879554+00:00
11,TrajectoryRL,λ,0.013379739,3.3318,249.02,100.0,256,256,0.2,1910742.003185,2942792.002147,0.0,360,129,2026-04-25T04:31:41.111969+00:00
12,Compute Horde,μ,0.006716286,1.6725,249.02,100.0,256,256,0.0005,2215298.114417,2930003.045591,0.0,360,129,2026-04-25T04:31:41.581318+00:00
13,Data Universe,ν,0.008227405,2.0488,249.02,100.0,256,256,0.000536,2913112.250303,2068001.670824,0.0,360,129,2026-04-25T04:31:41.811856+00:00
14,TAOHash,テ,0.009218338,2.2956,249.02,100.0,256,256,0.0005,2574251.839511,2391100.304406,0.0,360,129,2026-04-25T04:31:42.036257+00:00
15,ORO,ο,0.034190565,8.5141,249.02,100.0,256,256,0.11328,97397.678694,634173.570569,0.0,360,129,2026-04-25T04:31:42.259740+00:00
16,BitAds,π,0.00471593,1.1744,249.02,100.0,256,256,0.0005,1813662.951144,2976075.568234,0.0,360,129,2026-04-25T04:31:42.728172+00:00
17,404—GEN,ρ,0.014995967,3.7343,249.02,100.0,256,256,0.0005,2100405.433843,2740498.095692,0.0,360,129,2026-04-25T04:31:42.956373+00:00
18,Zeus,σ,0.006988429,1.7403,249.02,100.0,257,257,1.0,1817753.038465,2810751.492465,0.0,360,129,2026-04-25T04:31:43.180003+00:00
19,blockmachine,t,0.015098763,3.7599,249.02,100.0,256,256,0.1,2574045.944263,2313856.616195,0.0,360,129,2026-04-25T04:31:43.409840+00:00
20,GroundLayer,υ,0.00408041,1.0161,249.02,100.0,256,256,0.0005,2073398.416295,2768528.526046,0.0,360,129,2026-04-25T04:31:43.879277+00:00
21,AdTAO,φ,0.004935381,1.229,249.02,100.0,256,256,0.0005,1770121.718068,3106122.813342,0.0,360,129,2026-04-25T04:31:44.103356+00:00
22,Desearch,χ,0.005131652,1.2779,249.02,100.0,256,256,0.0005,1888258.492544,3089566.684474,0.0,360,129,2026-04-25T04:31:44.328849+00:00
23,Trishool,ψ,0.003964517,0.9872,249.02,100.0,256,256,0.1,1712829.716111,3165153.945404,0.0,360,129,2026-04-25T04:31:44.557221+00:00
24,Quasar,ω,0.016005087,3.9856,249.02,100.0,256,256,0.0005,1014030.425644,3798430.358751,0.0,360,129,2026-04-25T04:31:45.020251+00:00
25,Mainframe,א,0.004851988,1.2082,249.02,100.0,256,256,0.0005,2295498.442572,2606056.156571,0.0,360,129,2026-04-25T04:31:45.243387+00:00
26,beqar,ב,0.003366071,0.8382,249.02,100.0,256,256,0.0005,2125641.103856,2758580.65383,0.0,360,129,2026-04-25T04:31:45.468776+00:00
27,Nodexo,ג,0.004278549,1.0654,249.02,100.0,256,256,0.0005,1910447.74779,3077905.544321,0.0,360,129,2026-04-25T04:31:45.693165+00:00
28,gm,ד,0.011332156,2.8219,249.02,100.0,256,256,0.0005,1208718.394688,3762851.028401,0.0,360,129,2026-04-25T04:31:46.173589+00:00
29,Coldint,ה,0.013879304,3.4562,249.02,100.0,256,256,0.0005,1326575.083115,3596856.513747,0.0,360,129,2026-04-25T04:31:46.395165+00:00
30,Pending,ו,0.004722724,1.1761,249.02,100.0,256,256,0.0005,2001014.288476,2897541.105525,0.0,360,129,2026-04-25T04:31:46.617780+00:00
31,Halftime,ז,0.004738117,1.1799,249.02,100.0,256,256,0.0005,237339.21983,816050.0345,0.0,360,129,2026-04-25T04:31:46.841015+00:00
32,ItsAI,ח,0.00370767,0.9233,249.02,100.0,256,256,0.0005,2056885.846761,2860975.198522,0.0,360,129,2026-04-25T04:31:47.303211+00:00
33,ReadyAI,ט,0.008331647,2.0747,249.02,100.0,256,256,0.0005,2271635.555274,2003623.975551,0.0,360,129,2026-04-25T04:31:47.530273+00:00
34,BitMind,י,0.014105329,3.5125,249.02,100.0,256,256,0.0005,2607400.461337,2040932.940862,0.0,360,129,2026-04-25T04:31:47.758784+00:00
35,OxMarkets,ך,0.006401908,1.5942,249.02,100.0,256,256,0.1,1781874.304946,3105439.223367,0.0,360,129,2026-04-25T04:31:47.982664+00:00
36,automata,כ,0.006840097,1.7033,249.02,24.61,63,256,0.0005,33447.798446,147515.246154,0.0,360,129,2026-04-25T04:31:48.446901+00:00
37,Aurelius,ל,0.004163657,1.0368,249.02,100.0,256,256,0.0005,2131471.955122,2852013.281085,0.0,360,129,2026-04-25T04:31:48.670761+00:00
38,colosseum,ם,0.011369419,2.8312,249.02,100.0,256,256,0.0005,151440.575702,745337.564153,0.0,360,129,2026-04-25T04:31:48.895622+00:00
39,deprecated,מ,0.006533074,1.6269,249.02,100.0,256,256,0.0005,2598965.47731,2397807.76344,0.0,360,129,2026-04-25T04:31:49.124329+00:00
40,Chunking,ן,0.003423333,0.8525,249.02,100.0,256,256,0.0005,2065371.193036,2929642.960922,0.0,360,129,2026-04-25T04:31:49.599871+00:00
41,Almanac,נ,0.005415172,1.3485,249.02,100.0,256,256,0.1,2353119.118106,2269494.833483,0.0,360,129,2026-04-25T04:31:49.827191+00:00
42,Unknown,ס,0.003613353,0.8998,249.02,100.0,256,256,0.0005,2451323.285336,2162533.838549,0.0,360,129,2026-04-25T04:31:50.050281+00:00
43,Graphite,ע,0.006147211,1.5308,249.02,100.0,256,256,0.5,2458077.646537,2466746.945341,0.0,360,129,2026-04-25T04:31:50.277934+00:00
44,Score,ף,0.034576587,8.6103,249.02,100.0,256,256,0.0005,1630064.530915,3187746.660983,0.0,360,129,2026-04-25T04:31:50.738267+00:00
